source,target,score
ARID3A,MSI2,0.0098395029742623
ARID3A,SIRPB2,0.0069417998395235
ARID3A,PKM,0.0049670857106433
ARID3A,VPS37C,0.0137627121757932
ARID3A,ADAP1,0.0053389257281367
ARID3A,ANXA11,0.0075237270170474
ARID3A,APLP2,0.0034951828883971
ARID3A,CMIP,0.0038951660448278
ARID3A,CXorf21,0.0046082000343446
ARID3A,DTX2,0.0043523298269701
ARID3A,FAM19A2,0.0044866315292901
ARID3A,HOMER3,0.0062657064066525
ARID3A,RAB35,0.0065052009637328
ARID3A,SPI1,0.0106492483605795
ARID3A,STX3,0.0029284375831462
ARID3A,TEX2,0.0024914757416265
ARID3A,TIRAP,0.0028937530362739
ARNT,CTSK,0.007869836347608
ARNT,GCNT1,0.0065444390746691
ARNT,SNX27,0.0075729775226816
ARNT,CHRNB2,0.0094680188645651
ARNT,OSBPL1A,0.0092250398935579
ARNT,PRUNE2,0.0081132429593795
ARNT,RBMS1,0.0081767225998487
ARNT,USP32,0.0085147817370932
ARNT,CAMK1G,0.0092978157637104
ARNT,PTTG3P,0.0096935496425099
ARNT,PPEF1-AS1,0.0057383828829677
ARNT,RBM23,0.0140361050412427
ARNT,ACOX1,0.0040143918189111
ARNT,ARL8B,0.0013918041008085
ARNT,ARMCX2,0.0022309235865599
ARNT,ARMT1,0.0032341592852483
ARNT,ATG3,0.0010845131916441
ARNT,ATP6V1A,0.0013554375823928
ARNT,ATP6V1C1,0.0014998695282248
ARNT,BACH1,0.0026992798946462
ARNT,BCAR3,0.0017462331773932
ARNT,BHLHB9,0.002390177498603
ARNT,CUTA,0.0011782160271166
ARNT,DEPDC5,0.0032226631819218
ARNT,DHDDS,0.0010205699110582
ARNT,ESRRG,0.0012324232809828
ARNT,FGF1,0.0011718298694269
ARNT,GIT2,0.0014208472682633
ARNT,GNS,0.0023716251355367
ARNT,GPNMB,0.0010086217404598
ARNT,GTF2H1,0.0016682596637578
ARNT,HEXB,0.0013103794102802
ARNT,HPS3,0.0028414109642337
ARNT,HPS5,0.0019329115912795
ARNT,HSDL1,0.0016310307855007
ARNT,KBTBD13,0.0010321247656096
ARNT,KIAA0196,0.0012239393911885
ARNT,KIF3B,0.0059339863615095
ARNT,MICU1,0.0028576859131534
ARNT,MOSPD2,0.0022883142460631
ARNT,NRBF2,0.0059095043702512
ARNT,OSBPL8,0.0010649303304498
ARNT,PDCD6IP,0.0032021034894558
ARNT,PDP1,0.0036572021605648
ARNT,PLBD2,0.0021101745204692
ARNT,RAB22A,0.0012426185820025
ARNT,RIC1,0.0010455500183011
ARNT,RNF146,0.0020335005137629
ARNT,RNF185,0.002148505950811
ARNT,RRAGC,0.0037487729608842
ARNT,RTN3,0.0055548176835281
ARNT,SIRT1,0.0020313156074994
ARNT,SLC35F6,0.0025451444755807
ARNT,SLC9B2,0.0011025034469348
ARNT,SMCR8,0.0036413395149145
ARNT,SNAP29,0.0025343118673476
ARNT,SNORD10,0.003290111297375
ARNT,TLR4,0.0029786680670605
ARNT,TMEM199,0.0015984466335196
ARNT,TPP1,0.0016952515691591
ARNT,WDR7,0.0024163359232144
ARNT,ZBTB2,0.0012576558774827
ARNT,ZEB2,0.0028874624467062
ARNT,ZFYVE26,0.0018393125373604
ARNT,ZIC3,0.0017222079975053
ARNT,GPR45,0.0042439472337412
ARNT,GPX2,0.0061256612758302
ARNT,ADGRG2,0.004448420343386
ARNT,AFAP1-AS1,0.0020409796863023
ARNT,CXorf66,0.0048394846070344
ARNT,EPB41L1,0.0044641342342465
ARNT,GRIP2,0.0041417616144893
ARNT,INSIG2,0.0048286507315229
ARNT,LINC00322,0.0031804963938351
ARNT,NPTN-IT1,0.0030023443777594
ARNT,SMIM18,0.0046121327163151
ARNT,WIPI1,0.0034008438646698
ARNT,APC,0.0023735560284255
ARNT,BNIP3L,0.0012493576605118
ARNT,C12orf49,0.0012251495567195
ARNT,EFCAB14,0.0026509646982402
ARNT,FAM118B,0.0014034607485815
ARNT,FAM131A,0.0010650574121223
ARNT,FN1,0.0010369831980459
ARNT,MLF2,0.0016615983122977
ARNT,NPTN,0.0032293525094338
ARNT,OPA3,0.0015659907166947
ARNT,PAFAH1B1,0.0011307173410528
ARNT,PAK1,0.0011957802447753
ARNT,PCGF2,0.0018371279706816
ARNT,RPS29,0.0022962934956647
ARNT,SMARCA2,0.0010422735791774
ARNT,SMYD4,0.0032167668814907
ARNT,TET2,0.0031137570732788
ARNT,THRAP3,0.0013361688029855
ARNT,TMED10,0.001055976656063
ARNT,TRAK1,0.003367634232427
ARNT,WDR82,0.0026430821968118
ARNT,ZC3H4,0.0017170437329605
ARNT,ZNF438,0.0013709067410149
ARNT,ACOX3,0.0011391876191015
ARNT,ANKS1A,0.0020574473607179
ARNT,ARNT,0.0011200477729569
ARNT,ATL3,0.0032276399918516
ARNT,ATP10D,0.0011664380938656
ARNT,BTG1,0.0011247461029364
ARNT,CELF6,0.0010071374778949
ARNT,CPEB4,0.0016662710561507
ARNT,CSNK1G2-AS1,0.002989086725936
ARNT,DDX19A,0.001018286236885
ARNT,DNAJB5,0.0014613842978025
ARNT,EFR3A,0.0018201604436619
ARNT,EIF4EBP2,0.0037089282492746
ARNT,ELL2,0.0011759885019097
ARNT,ENTPD4,0.0011217547772699
ARNT,FAM177A1,0.0012074921789963
ARNT,FAM63B,0.0012267768522621
ARNT,FAM76A,0.0023138163518266
ARNT,FKBP15,0.0014107864032844
ARNT,GMFB,0.0012323254290526
ARNT,GPCPD1,0.0012098306959873
ARNT,HIPK1,0.0014821255653824
ARNT,IQCG,0.0010599908223377
ARNT,JUND,0.0017852661899448
ARNT,LINC00886,0.0010052931580537
ARNT,LINC01347,0.0011249995740252
ARNT,MYCBPAP,0.0011033973727106
ARNT,NBR1,0.0021380468627579
ARNT,POP4,0.0012824247178295
ARNT,PPM1D,0.0011490755934739
ARNT,PRKAR1A,0.0063338398801179
ARNT,PTPRG-AS1,0.0024960483533316
ARNT,RAB6A,0.0032843470576168
ARNT,RNU12,0.0027304977584387
ARNT,RNU6-1,0.0017442515724593
ARNT,RPP14,0.0016227192996562
ARNT,SCLT1,0.0043771779396409
ARNT,SEC24A,0.0014854631242241
ARNT,SESN3,0.0015937315359331
ARNT,SNAPC5,0.0013548795548609
ARNT,SOX3,0.0013717718306784
ARNT,STMN4,0.0018048128347103
ARNT,STX12,0.0040605222021043
ARNT,SUPT6H,0.0010192097605129
ARNT,TAGLN,0.0013225625953456
ARNT,TIGAR,0.0018119668269071
ARNT,TINF2,0.0013893076681299
ARNT,TMEM131,0.0036258051097257
ARNT,TMEM165,0.0025544979826096
ARNT,TNKS2,0.0023224157916413
ARNT,TSG101,0.0023534464218377
ARNT,UBE4A,0.0019802168831613
ARNT,VAMP2,0.0010247803363418
ARNT,XRCC4,0.0010043761014076
ARNT,YTHDF3-AS1,0.001377330197384
ARNT,ZNF143,0.0017366996496706
ARNT,ANKHD1-EIF4EBP3,0.0019127359584387
ARNT,ANKRD13A,0.00194613394449
ARNT,FUCA1,0.0039699286883292
ARNT,IRF2BP2,0.0015571865778251
ARNT,ITPK1-AS1,0.0027195411201796
ARNT,KCNAB1,0.0019827355485299
ARNT,KDM4C,0.0011372966774663
ARNT,NSD1,0.0017297977752466
ARNT,PALM2,0.0012554631609816
ARNT,SDHAP2,0.0010023150429657
ARNT,SIRPA,0.0013764764402629
ARNT,SMG1P1,0.0019807137570662
ARNT,SNIP1,0.0011706157128765
ARNT,SYS1,0.0014078092223761
ARNT,TACR2,0.0024801759796526
ARNT,TLR8-AS1,0.001918057862039
ARNT,TMTC1,0.0013044220748756
ARNT,YPEL2,0.0013122592237977
ARNT,ARSB,0.0017272196577691
ARNT,CFAP61,0.0018153980576685
ARNT,CNTN6,0.0015606233546183
ARNT,EHF,0.0010289459463964
ARNT,FAM107B,0.0023459605389936
ARNT,FAM205BP,0.001083715141574
ARNT,FOS,0.0011178360679513
ARNT,GPANK1,0.0010500166533714
ARNT,HEATR3,0.0030346447659457
ARNT,IL18BP,0.0011763958990308
ARNT,ING1,0.002099210473539
ARNT,LINC00683,0.0027970950103962
ARNT,METTL21EP,0.0015143739020684
ARNT,MFN2,0.0013436153733142
ARNT,MYH15,0.0010511010943406
ARNT,NTHL1,0.0012258367888884
ARNT,NUP50,0.0016379746329548
ARNT,PATL1,0.0012296794314517
ARNT,PECAM1,0.0010721018407885
ARNT,RASSF2,0.0012583383837133
ARNT,RNF41,0.0126348995303399
ARNT,RNY3,0.001212369727667
ARNT,RPS8,0.0013077086163325
ARNT,SRP54,0.0011226978546406
ARNT,TBC1D12,0.0016803467350145
ARNT,FAM180A,0.0043567994993266
ARNT,CNTN2,0.0077503322511208
ARNT,ANKFY1,0.0031743875867895
ARNT,ARPC5,0.0013706407004011
ARNT,ASAH1,0.0019523823643945
ARNT,B3GALNT2,0.0027934919620445
ARNT,CAPN3,0.0026578359619556
ARNT,CHSY1,0.0032216278092857
ARNT,COL4A3BP,0.0014175016220221
ARNT,CYP24A1,0.0015014092254119
ARNT,EYA3,0.0016486264176044
ARNT,FGF8,0.0011714855997314
ARNT,GIPR,0.0018604861719155
ARNT,GPC4,0.0015101148824629
ARNT,LHFPL1,0.0011814422046633
ARNT,LINC01599,0.0026584825942115
ARNT,MAGED1,0.001163546332201
ARNT,NME1-NME2,0.0010414968288317
ARNT,RIMS2,0.0010876803842237
ARNT,RIN2,0.0060037718984901
ARNT,RNF39,0.0017406328510032
ARNT,RPL23AP64,0.0019552314272918
ARNT,SEMA3B-AS1,0.0012013127710724
ARNT,TEX2,0.0021231018994445
ARNT,TOP3A,0.0031661517560026
ARNT,TPRG1-AS1,0.0013342246192285
ARNT,ARHGAP31-AS1,0.0036471971791861
ARNT,CANT1,0.0029263019565071
ARNT,CCDC126,0.0038400848086737
ARNT,CDYL,0.0042585141983316
ARNT,ERMAP,0.0022910819592726
ARNT,FOXO6,0.0028681237728302
ARNT,LINC01187,0.0018432606874858
ARNT,PI15,0.0033789424020276
ARNT,SYT11,0.0037597677949496
ARNT,MTCH2,0.0017213986210864
ARNT,RNF152,0.0010105475739272
ARNT,VPS53,0.004894605498831
ARNT,ZFYVE16,0.0031978049985
ARNT,ARHGEF28,0.0010664447440064
ARNT,ASPN,0.0012385023392294
ARNT,BTBD10,0.002648294345821
ARNT,NEK9,0.0015421098695152
ARNT,PLEK,0.0016384552745959
ARNT,SASH1,0.0018707751323597
ARNT,TACC2,0.0010038253809191
ARNT,CAB39,0.0022432324791898
ARNT,DUSP9,0.0012275703485229
ARNT,GULP1,0.0011323133462389
ARNT,LHFPL3-AS1,0.0012213715772151
ARNT,LINC01509,0.0011886962639728
ARNT,MCF2L,0.0023499743658843
ARNT,PNPLA1,0.0016621170550183
ARNT,PRKAG1,0.0020740495957222
ARNT,TMCC1,0.0010975858242088
ARNT,ANKH,0.0018991388194128
ARNT,ASAP1,0.0032105333063431
ARNT,ASB7,0.0010952729224824
ARNT,BASP1,0.0013808864851429
ARNT,C2orf74,0.0016220519948687
ARNT,CBL,0.0016173853666614
ARNT,CELF2-AS2,0.0011611387724594
ARNT,CMC2,0.002199649350157
ARNT,CMIP,0.0014227527332394
ARNT,CPD,0.0025306114664604
ARNT,CTCF,0.001077842063779
ARNT,DDX11L2,0.00160160951589
ARNT,DESI2,0.0021836191465392
ARNT,DGCR5,0.0016020721281508
ARNT,DIRC1,0.0015625423659514
ARNT,EGFL7,0.0012346095765978
ARNT,FBXO30,0.0010418197979728
ARNT,FLJ33360,0.0017156653725167
ARNT,GGTA1P,0.0014047847141454
ARNT,HAS3,0.0012941872400959
ARNT,IKZF1,0.0013243563748946
ARNT,IL17REL,0.0010867518249702
ARNT,KCNMB2,0.0015095830999976
ARNT,KIAA0232,0.0017271825869153
ARNT,LINC00521,0.0041352932343556
ARNT,LINC00924,0.00107261657679
ARNT,LINC01481,0.0012041630006229
ARNT,LRRC8C,0.0016443820787355
ARNT,MAFK,0.001205783210739
ARNT,MAST4,0.0010605878162106
ARNT,MCAM,0.0023287495251689
ARNT,MECOM,0.0017843720862672
ARNT,MMGT1,0.0015100053747575
ARNT,NEDD9,0.0019009881762732
ARNT,NUDT4P1,0.003129671587088
ARNT,NUDT4P2,0.003129671587088
ARNT,OR5B3,0.0015109927208017
ARNT,PABPC5,0.001120580687883
ARNT,PACRG-AS1,0.0015568754346697
ARNT,PLCL1,0.0011239947691093
ARNT,PPT1,0.0025990991620807
ARNT,PRDM10,0.0010518417250057
ARNT,PTPRF,0.0016468886988931
ARNT,RAB2A,0.002496328185011
ARNT,SEZ6L,0.0010683428571213
ARNT,SFTA1P,0.0015124332799128
ARNT,SLC9A7P1,0.0011441034141773
ARNT,SRRM3,0.0018222895676132
ARNT,ST6GALNAC5,0.0011369930079289
ARNT,TBC1D30,0.0019732851676673
ARNT,TET2-AS1,0.0016824234809511
ARNT,USP8,0.001271499791078
ARNT,VWCE,0.0021187232527537
ARNT,WT1,0.0013017589958457
ARNT,ZNF816-ZNF321P,0.0013363946870869
ARNT,CLIP1-AS1,0.0040225182582962
ARNT,FBXO40,0.0015364562993263
ARNT,KCNS1,0.0019661749323103
ARNT,TSPAN14,0.0015990090149681
ARNT,ANKRD45,0.0014123803758024
ARNT,ANO6,0.0019930993438385
ARNT,APLP2,0.0014931117101321
ARNT,ASB9P1,0.0022282326293094
ARNT,BCDIN3D-AS1,0.0010213509101448
ARNT,BFSP2-AS1,0.0010116956636881
ARNT,BIN1,0.0011355093079875
ARNT,CA5B,0.001691320654883
ARNT,CBR3-AS1,0.0027092434571003
ARNT,CHRM5,0.0011304387044867
ARNT,CLOCK,0.0010322117433221
ARNT,CTHRC1,0.0058693411597949
ARNT,DDX11L10,0.0012904832035223
ARNT,ENOX1,0.001042987393402
ARNT,EXTL3,0.0031858460114265
ARNT,IGFBP4,0.003958595499445
ARNT,JAKMIP3,0.0013938152371608
ARNT,KCTD20,0.0030083909957705
ARNT,NPPA,0.0012981075526511
ARNT,NRG3,0.0010272836201284
ARNT,OACYLP,0.0040086052429071
ARNT,OGFRP1,0.0013176052745233
ARNT,PPL,0.0019560084369376
ARNT,PPM1B,0.0011932259062661
ARNT,PRPSAP1,0.001527902888069
ARNT,RAVER2,0.0010205303460387
ARNT,SLC36A2,0.0028868857840829
ARNT,SLC39A11,0.0010342597596402
ARNT,SPIRE2,0.00128186857
ARNT,ST20-MTHFS,0.0010314489417426
ARNT,STAU1,0.0011348479673833
ARNT,STK38,0.0018741631037974
ARNT,TBL1X,0.0017448809689479
ARNT,TCHH,0.0015870234991775
ARNT,TIMP2,0.0012949370625414
ARNT,ZDHHC5,0.0026127040046257
ARNT,ZNF652,0.0011941916631078
ARNT,LGALS8,0.0034306635214653
ARNT,LINC01524,0.0027353596594297
ARNT,PVRIG2P,0.0016388667172427
ARNT,REEP3,0.0010410434397362
ARNT,SLC47A2,0.0017574872823419
ARNT,TMX4,0.0026675522278534
ARNT,C16orf54,0.0012479989782337
ARNT,CHFR,0.0012791604315929
ARNT,CHMP3,0.0032085442184734
ARNT,CYP26C1,0.0013908597687829
ARNT,IKZF2,0.0018078156181055
ARNT,JUP,0.0010614118684704
ARNT,MYL2,0.0016739848176532
ARNT,POGK,0.0017302583878599
ARNT,TMEM56-RWDD3,0.0013491472082195
ARNT,ZEB2-AS1,0.0010543524745611
ARNT,ZSCAN20,0.0024048653386845
ARNTL,GPR137B,0.0077620899685173
ARNTL,TNRC18P1,0.0063906547937645
ARNTL,FCRLB,0.0068169243311097
ARNTL,TPRG1,0.0060681487076535
ARNTL,HAR1B,0.0159489873826095
ARNTL,KDM4C,0.0122757557950945
ARNTL,TRAF3IP3,0.0076031454327863
ARNTL,ABAT,0.0067286718897836
ARNTL,ARMCX2,0.008076274100973
ARNTL,CDK4,0.0063866548401241
ARNTL,CIART,0.0057535371190478
ARNTL,CNR1,0.006806623548136
ARNTL,EIF5A2,0.0123373869249701
ARNTL,FNIP2,0.0090649531419398
ARNTL,HEG1,0.0064231152552617
ARNTL,IGF2R,0.005312766114323
ARNTL,KIAA0513,0.0058721982060703
ARNTL,PALLD,0.0286004056936322
ARNTL,PDE1B,0.0051565546046773
ARNTL,SLC25A44,0.0057546248659378
ARNTL,TCP11,0.0052376060163817
ARNTL,WDR17,0.00649246089856
ARNTL,YPEL2,0.0063386219796082
ATF1,CCNYL1,0.0038093273564609
ATF1,CDV3,0.003960540818557
ATF1,CYP1B1,0.0041418675345428
ATF1,DCAF12,0.0027386803860349
ATF1,FNIP2,0.0029311096693735
ATF1,FUCA1,0.0012129390088323
ATF1,IRF2,0.005517393782554
ATF1,KIAA0040,0.0055594793744565
ATF1,KIF5B,0.0037041608905573
ATF1,NAA15,0.0045025863050357
ATF1,NBR1,0.0017996036239254
ATF1,NEK1,0.0019641571389138
ATF1,NUP35,0.0021788283373334
ATF1,RAB2A,0.0042144541849598
ATF1,RBM12,0.0012823579324408
ATF1,RCOR1,0.0055444763125802
