,prim.1,prim.2,prim.3,prim.4,prim.5,prim.6,prim.7,mono.1,mono.2,mono.3,mono.4,mono.5
ABCC3,2,3,8,9,3,5,0,218,95,275,233,444
ABCE1,1694,1161,3824,3086,2663,3039,1766,1395,1498,708,638,933
ABHD15,397,607,259,433,475,613,694,628,755,765,780,387
ABHD17B,1012,1456,1199,1145,1810,511,605,449,970,549,378,434
ABHD6,36,76,142,46,62,94,87,146,172,129,137,94
ACER3,136,196,312,217,317,367,153,1735,1441,763,499,513
ACOX3,183,192,140,291,142,432,331,336,241,329,302,252
ACSL3,392,387,541,436,310,479,394,1259,830,497,575,777
ACSM3,292,685,960,307,1039,501,239,127,363,44,189,34
ACSS1,1386,1940,1429,1460,1551,1967,1781,751,918,1012,870,378
ACTB,54419,74890,46259,71687,46810,80095,62916,215833,122146,156877,146931,228755
ACTR3B,106,92,164,86,48,138,124,24,18,54,48,43
ACVRL1,1,1,3,2,0,1,0,101,47,159,24,95
ADAM22,61,52,103,14,52,58,45,2,24,2,24,7
ADAM9,34,53,201,262,73,92,76,2435,1682,1014,619,1401
ADAP1,130,257,30,41,87,161,178,465,322,664,663,688
ADAT2,159,63,171,36,77,55,80,16,30,21,37,19
ADCY6,549,1004,638,478,677,479,1244,19,27,126,64,58
ADCY7,1056,2638,1518,156,1692,1739,2886,4157,3483,3048,2861,4109
ADM,8,11,33,193,8,65,23,152,172,449,762,953
AGFG1,562,561,1403,1562,1015,877,617,5567,4284,2488,1847,1612
AGK,487,504,603,581,576,604,459,372,366,304,361,246
AGPAT3,330,618,500,657,348,277,145,1722,1679,1360,1560,1769
AGTRAP,396,374,82,397,225,348,279,2850,2036,3507,3922,3295
AHCYL1,1149,1276,2348,1490,1685,2199,1605,2491,3011,2346,1776,2214
AHNAK,6867,32480,1987,2139,8251,9045,12443,34024,27911,49934,43470,36556
AIM1,412,709,131,655,490,887,867,3126,2134,2097,2643,1944
AJUBA,14,15,14,5,25,1,9,3,5,1,2,2
ALDH3B1,1060,1607,232,1224,954,1378,1017,4278,3440,4634,4154,4240
ALDH4A1,59,63,89,40,45,133,103,211,104,177,231,143
ALDH9A1,707,510,847,1041,591,1085,868,2148,1834,1251,1785,1317
ALOX5,147,438,136,244,278,4618,2105,5037,1661,4744,1367,5255
ALOX5AP,65,269,262,122,221,449,265,4665,2496,7264,3066,439
ANAPC1,684,491,734,711,574,961,711,255,291,269,262,159
ANGPT1,5111,4276,7517,3155,7640,5351,1892,114,797,68,54,86
ANKRD16,128,118,64,84,65,63,160,16,20,60,47,61
ANXA11,2951,4189,3084,3477,2532,3653,3516,4862,4061,6180,4373,6587
ANXA2,1410,360,1565,6492,485,2190,2318,33588,20266,27264,31167,18620
ANXA5,73,282,13,5797,244,607,86,17174,8294,13344,8850,2514
AOAH,205,267,517,279,310,106,30,6352,3787,5473,3797,16443
AP2A1,765,1266,576,837,647,1303,1506,2094,1096,2412,2561,3980
AP2B1,3110,5526,6260,4710,5202,7608,7126,3246,3062,3473,3055,3112
APCDD1,0,4,5,0,4,25,20,106,124,56,194,13
APLP2,2457,10023,1851,11660,7567,9780,7465,33442,38651,33011,30119,32872
APOBR,375,2565,445,246,966,1003,1274,2076,1564,5258,4452,2111
APOL2,340,92,218,204,121,301,468,255,359,267,308,436
